OTU,Domain,Phylum,Class,Order,Family,Genus,Species
ASV1,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Aeromonadaceae,Aeromonas,?
ASV5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Shewanellaceae,Shewanella,?
ASV6,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV7,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV8,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV9,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV10,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Shewanellaceae,Shewanella,?
ASV12,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV13,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV14,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV15,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Aeromonadaceae,Aeromonas,?
ASV17,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV18,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter caeni
ASV19,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV20,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV21,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Rheinheimera,?
ASV23,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV24,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV25,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV26,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV27,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Rheinheimera,?
ASV28,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?
ASV29,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,Gemmobacter lutimaris
ASV30,Bacteria,Bacillota,Bacilli,Mycoplasmatales,UBA3375,?,?